"","date","target","insult","tweet"
"398","2015-10-28","politico","a scam!",".@Morning_Joe can you believe Kasie Hunt's poor and purposely inaccurate reporting on my great night and crowd in Iowa. @politico is a scam!"
"399","2015-10-28","cnbc","fictitious polling numbers","Does anybody think that @CNBC will get their fictitious polling numbers corrected sometime prior to the start of the debate. Sad!"
"400","2015-10-28","cnbc","sad","Does anybody think that @CNBC will get their fictitious polling numbers corrected sometime prior to the start of the debate. Sad!"
"401","2015-10-28","the-media","will not report the highly respected new national poll that just came out","I'm sure the media will not report the highly respected new national poll that just came out via The Economist. 32%! https://t.co/aalSqnGHa3"
"402","2015-10-29","politico","money losing","The money losing @politico is considered by many in the world of politics to be the dumbest and most slanted of the political sites. Losers!"
"403","2015-10-29","politico","Losers!","The money losing @politico is considered by many in the world of politics to be the dumbest and most slanted of the political sites. Losers!"
"404","2015-10-29","politico","considered by many in the world of politics to be the dumbest and most slanted of the political sites","The money losing @politico is considered by many in the world of politics to be the dumbest and most slanted of the political sites. Losers!"
"405","2015-10-29","glenn-beck","mental basketcase","Failing host @glennbeck, a mental basketcase, loves SUPERPACS - in other words, he wants your politicians totally controlled by lobbyists!"
"406","2015-10-30","politico","some very untalented reporters","Wow, just heard really bad stuff about the failing @politico. How much longer will they be around? Some very untalented reporters."
"407","2015-10-30","john-harwood","bombed","Loved doing the debate last night on @CNBC. Check out all of the polls! Everyone agrees that Harwood bombed!"
"408","2015-10-30","super-pacs","a total scam on our system and country","Super PACs should be disavowed by anyone running for President. They are a total scam on our system and country! I am self-funding."
"409","2015-10-31","hillary-clinton","she looked lost","Black Lives Matter protesters totally disrupt Hillary Clinton event. She looked lost. This is not what we need with ISIS, CHINA, RUSSIA etc."
"410","2015-10-31","politico","If they were legit, they would be doing far better","I told you so-@politico just lost it's top person. Poor results and no money to pay him. If they were legit, they would be doing far better!"
"411","2015-10-31","wall-street-journal","loves to write badly about me","The @WSJ Wall Street Journal loves to write badly about me. They better be careful or I will unleash big time on them. Look forward to it!"
"412","2015-10-31","debates","really dumb but record setting","No complaints but how many people would be watching these really dumb but record setting debates if I wasn't in them? Interesting question!"
"413","2015-10-31","fortune-magazine","few people know that Fortune Magazine is still in business","Few people know that @FortuneMagazine is still in business. Tell your writer Alisa Soloman that I left The Apprentice to run for president"
"414","2015-10-31","john-oliver","very boring and low rated show",".@thehill John Oliver had his people call to ask me to be on his very boring and low rated show. I said ""NO THANKS"" Waste of time & energy!"
"415","2015-11-01","john-kasich","wasting time & money","Gov. John Kasich has really failed on the campaign trail. I thought he would have been far more talented. He is just wasting time & money!"
"416","2015-11-01","marco-rubio","weak on illegal immigration","Further proof that Gang of Eight member Marco Rubio is weak on illegal immigration is Paul Singer's, Mr. Amnesty, endorsement.Rubs can't win"
"417","2015-11-01","paul-singer","Mr. Amnesty","Further proof that Gang of Eight member Marco Rubio is weak on illegal immigration is Paul Singer's, Mr. Amnesty, endorsement.Rubs can't win"
"418","2015-11-01","jeb-bush","stupid message","Jeb's new slogan - ""Jeb can fix it"". I never thought of Jeb as a crook! Stupid message, the word ""fix"" is not a good one to use in politics!"
"419","2015-11-01","marco-rubio","very disloyal to Jeb","I told you in speeches months ago that Jeb and Marco do not like each other. Marco is too ambitious and very disloyal to Jeb as his mentor!"
"420","2015-11-01","marco-rubio","lightweight","Marco Rubio will not win. Weak on illegal immigration, strong on amnesty and has the appearance to killers of the world as a ""lightweight""."
"421","2015-11-01","jeb-bush","if Jeb Bush were more competent he could not have lost the skirmish with Marco","If Jeb Bush were more competent he could not have lost the skirmish with Marco in the debate. BAD facts for Marco if properly delivered!"
"422","2015-11-02","united-states","Iran ripped us off by making one of the best deals of any kind in history","Now that Iran ripped us off by making one of the best deals of any kind in history, they have just moved to block any imports from the U.S."
"423","2015-11-02","cnbc","crazy",".@Morning_Joe: Marco only won the debate in the minds of desperate people. I won every on-line poll, even crazy @CNBC. Marco good looking?"
"424","2015-11-02","marco-rubio","only won the debate in the minds of desperate people",".@Morning_Joe: Marco only won the debate in the minds of desperate people. I won every on-line poll, even crazy @CNBC. Marco good looking?"
"425","2015-11-02","charles-blow","dishonest reporting",".@CharlesMBlow Why don’t you use new polls instead of the single ancient national poll that was a tiny bit negative. Dishonest reporting!"
"426","2015-11-03","scott-walker","puppet",".@CharlesGKoch is looking for a new puppet after Governor Walker and Jeb Bush cratered. He now likes Rubio--next fail."
"427","2015-11-03","jeb-bush","puppet",".@CharlesGKoch is looking for a new puppet after Governor Walker and Jeb Bush cratered. He now likes Rubio--next fail."
"428","2015-11-03","scott-walker","cratered",".@CharlesGKoch is looking for a new puppet after Governor Walker and Jeb Bush cratered. He now likes Rubio--next fail."
"429","2015-11-03","jeb-bush","cratered",".@CharlesGKoch is looking for a new puppet after Governor Walker and Jeb Bush cratered. He now likes Rubio--next fail."
"430","2015-11-03","charles-koch","looking for a new puppet",".@CharlesGKoch is looking for a new puppet after Governor Walker and Jeb Bush cratered. He now likes Rubio--next fail."
"431","2015-11-03","marco-rubio","cannot be President","Marco Rubio would keep Barack Obama’s executive order on amnesty intact. See article. Cannot be President. 
  
  https://t.co/JW5f8OouyA"
"432","2015-11-06","nytimes-article","such bad reporting","Such bad reporting: A puff piece on Ben Carson in the @nytimes states that Carson ""is trying to solidify his lead."" But I am #1, easily! Sad"
"433","2015-11-06","nytimes-article","a puff piece","Such bad reporting: A puff piece on Ben Carson in the @nytimes states that Carson ""is trying to solidify his lead."" But I am #1, easily! Sad"
"434","2015-11-06","ben-carson","Pyramids built for grain storage - don't people get it?","With Ben Carson wanting to hit his mother on head with a hammer, stab a friend and Pyramids built for grain storage - don't people get it?"
"435","2015-11-06","ben-carson","many lies by Ben Carson","""@Robostop10: @realDonaldTrump This is not good. https://t.co/lvv0MRfgtH"" WOW, one of many lies by Ben Carson! Big story."
"436","2015-11-06","bill-kristol","a sad case","@BillKristol has become a sad case. His magazine is failing badly, probably doesn't have long to go, and his predictions are always wrong!"
"437","2015-11-06","bill-kristol","his predictions are always wrong","@BillKristol has become a sad case. His magazine is failing badly, probably doesn't have long to go, and his predictions are always wrong!"
"438","2015-11-07","jonathan-martin","not good reporting","Would be nice if @jmartNYT learned how to read the polls before writing his next story. Probably done on purpose, but not good reporting!"
"439","2015-11-07","jonathan-martin","would be nice if @jmartNYT learned how to read the polls before writing his next story","Would be nice if @jmartNYT learned how to read the polls before writing his next story. Probably done on purpose, but not good reporting!"
"440","2015-11-07","chris-stirewalt","one of the dumbest political pundits on television","One of the dumbest political pundits on television is Chris Stirewalt of @FoxNews. Wrong facts - check Fox debate rankings, Trump #1. Dope!"
"441","2015-11-07","chris-stirewalt","dope","One of the dumbest political pundits on television is Chris Stirewalt of @FoxNews. Wrong facts - check Fox debate rankings, Trump #1. Dope!"
"442","2015-11-09","ana-navarro","has no talent, no TV persona",".@CNN should listen. Ana Navarro has no talent, no TV persona, and works for Bush—a total conflict of interest. https://t.co/mynTMrdTE9"
"443","2015-11-10","marco-rubio","a highly overrated politician","Marco Rubio is a total lightweight who I wouldn’t hire to run one of my smaller companies - a highly overrated politician!"
"444","2015-11-10","marco-rubio","couldn't even respond properly to President Obama's State of the Union Speech without pouring sweat & chugging water","Marco Rubio couldn't even respond properly to President Obama's State of the Union Speech without pouring sweat & chugging water. He choked!"
"445","2015-11-10","marco-rubio","a lightweight choker","Marco Rubio is totally weak on illegal immigration & in favor of easy amnesty. A lightweight choker - bad for #USA!"
"446","2015-11-12","wall-street-journal","so wrong, so often","The @WSJ Editorial Board is so wrong, so often. They got info from an incorrect story in another pub. Why not watch and listen to debate."
"447","2015-11-12","wall-street-journal","dummies","When and how are the dummies at the @WSJ going to apologize to me for their totally incorrect Editorial on me. I want ""smart"" trade deals."
"448","2015-11-12","wall-street-journal","so totally wrong","Why wouldn't the @WSJ call for comment or clarification before writing an editorial which is so totally wrong. No wonder it is doing poorly!"
"449","2015-11-12","karl-rove","biased dope",".@KarlRove is a biased dope who wrote falsely about me re China and TPP. This moron wasted $430 million on political campaigns and lost 100%"
"450","2015-11-12","karl-rove","moron",".@KarlRove is a biased dope who wrote falsely about me re China and TPP. This moron wasted $430 million on political campaigns and lost 100%"
"451","2015-11-12","wall-street-journal","failing","Why does the failing @WSJ write a false editorial about me and let dummy @KarlRove make the same mistake in the same edition of the paper?"
"452","2015-11-12","karl-rove","dummy","Why does the failing @WSJ write a false editorial about me and let dummy @KarlRove make the same mistake in the same edition of the paper?"
"453","2015-11-12","wall-street-journal","purposely mischaracterized my statement",".@WSJ and dopey Karl Rove made a mistake and purposely mischaracterized my statement on the terrible TPP deal.
 https://t.co/t9JZGIUAYl"
"454","2015-11-12","karl-rove","purposely mischaracterized my statement",".@WSJ and dopey Karl Rove made a mistake and purposely mischaracterized my statement on the terrible TPP deal.
 https://t.co/t9JZGIUAYl"
"455","2015-11-12","karl-rove","dopey",".@WSJ and dopey Karl Rove made a mistake and purposely mischaracterized my statement on the terrible TPP deal.
 https://t.co/t9JZGIUAYl"
"456","2015-11-12","tpp-deal","terrible",".@WSJ and dopey Karl Rove made a mistake and purposely mischaracterized my statement on the terrible TPP deal.
 https://t.co/t9JZGIUAYl"
"457","2015-11-12","karl-rove","total fool","Total fool @KarlRove is part of the Republican Establishment problem. An all talk, no action dummy! 
  https://t.co/CxLHA87hS1"
"458","2015-11-12","karl-rove","an all talk, no action dummy!","Total fool @KarlRove is part of the Republican Establishment problem. An all talk, no action dummy! 
  https://t.co/CxLHA87hS1"
"459","2015-11-12","karl-rove","part of the Republican Establishment problem","Total fool @KarlRove is part of the Republican Establishment problem. An all talk, no action dummy! 
  https://t.co/CxLHA87hS1"
"460","2015-11-12","ben-carson","very weak on illegal immigration","Wow, pres. candidate Ben Carson, who is very weak on illegal Immigration, just said he likes amnesty and a pathway to citizenship."
"461","2015-11-12","wall-street-journal","so dishonest","Thank you @Forbes for showing the @WSJ was wrong. So dishonest! https://t.co/wOjEXdEkNg"
"462","2015-11-12","macys","very disloyal to me","Macy’s was very disloyal to me bc of my strong stance on illegal immigration. Their stock has crashed! #BoycottMacys https://t.co/WsvZtwZbBf"
"463","2015-11-13","carly-fiorina","failing campaign",".@CarlyFiorina had to inject herself into my factual statements concerning Ben Carson in order to breathe life into her failing campaign!"
"464","2015-11-13","carly-fiorina","campaign is dead",".@seanhannity Carly, whose campaign is dead, is making false statements about me in order to salvage hope! Sad."
"465","2015-11-13","shephard-smith","so totally biased","Boy is this guy @ShepNewsTeam tough on me. So totally biased. As a reporter, he should be ashamed of himself! #Trump2016"
"466","2015-11-13","shephard-smith","should be ashamed of himself","Boy is this guy @ShepNewsTeam tough on me. So totally biased. As a reporter, he should be ashamed of himself! #Trump2016"
"467","2015-11-14","barack-obama","he is just so bad!","President Obama said ""ISIL continues to shrink"" in an interview just hours before the horrible attack in Paris. He is just so bad! CHANGE."
"468","2015-11-15","martin-o-malley","failed","Hillary and Sanders are not doing well, but what is the failed former Mayor of Baltimore doing on that stage? O'Malley is a clown."
"469","2015-11-15","martin-o-malley","a clown","Hillary and Sanders are not doing well, but what is the failed former Mayor of Baltimore doing on that stage? O'Malley is a clown."
"470","2015-11-15","vanity-fair","doing really poorly",".@VanityFair Magazine is doing really poorly. It has gotten worse and worse over the years, and has lost almost all of it's former allure!"
"471","2015-11-15","vanity-fair","has gotten worse and worse",".@VanityFair Magazine is doing really poorly. It has gotten worse and worse over the years, and has lost almost all of it's former allure!"
"472","2015-11-15","vanity-fair","has lost almost all of it's former allure!",".@VanityFair Magazine is doing really poorly. It has gotten worse and worse over the years, and has lost almost all of it's former allure!"
"473","2015-11-15","graydon-carter","a total loser","I have watched sloppy Graydon Carter fail and close Spy Magazine and now am watching him fail at @VanityFair Magazine. He is a total loser!"
"474","2015-11-15","graydon-carter","sloppy","I have watched sloppy Graydon Carter fail and close Spy Magazine and now am watching him fail at @VanityFair Magazine. He is a total loser!"
"475","2015-11-16","ronda-rousey","not a nice person!","Glad to see that @RondaRousey lost her championship fight last night. Was soundly beaten - not a nice person!"
"476","2015-11-16","john-legere","focus on running your company",".@JohnLegere @TMobile John, focus on running your company, I think the service is terrible! Try hiring some good managers."
"477","2015-11-16","t-mobile","I think the service is terrible!",".@JohnLegere @TMobile John, focus on running your company, I think the service is terrible! Try hiring some good managers."
"478","2015-11-16","john-legere","try hiring some good managers",".@JohnLegere @TMobile John, focus on running your company, I think the service is terrible! Try hiring some good managers."
"479","2015-11-16","karl-rove","dope","Republicans must stop listening to dopes like @KarlRove who still insists Mitt Romney won the last election. Think big & think strong!"
"480","2015-11-17","barack-obama","has a horrible attitude","I, along with almost everyone else, have so little confidence in President Obama. He has a horrible attitude-a man who is resigned to defeat"
"481","2015-11-17","barack-obama","Is our president insane?","Refugees from Syria are now pouring into our great country. Who knows who they are - some could be ISIS. Is our president insane?"
"482","2015-11-17","associated-press","they have lost their way and are no longer credible","One of the saddest things in journalism is what happened to the formerly great @AP. They have lost their way and are no longer credible."
"483","2015-11-17","associated-press","reporting is terrible & highly inaccurate",".@AP is doing very badly. I can say from experience their reporting is terrible & highly inaccurate. Sadly, they are now irrelevant!"
"484","2015-11-17","associated-press","now irrelevant",".@AP is doing very badly. I can say from experience their reporting is terrible & highly inaccurate. Sadly, they are now irrelevant!"
"485","2015-11-19","ben-carson","incapable of understanding foreign policy","Ben Carson is being severely criticized for being incapable of understanding foreign policy be one of his top consultants. Not good!"
"486","2015-11-19","george-will","wrong almost all of the time","Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased."
"487","2015-11-19","george-will","broken down","Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased."
"488","2015-11-19","george-will","boring and totally biased","Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased."
"489","2015-11-19","george-will","should be thrown off Fox News","Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased."
"490","2015-11-19","george-will","broken down political pundit","Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased!"
"491","2015-11-19","george-will","dopey","Dopey @GeorgeWill, a big proponent of the Iraq War and other catastrophes, doesn’t like me very much. That means I win!"
"492","2015-11-19","george-will","BORING","I skipped a speech given years ago at Mar-a-Lago by dopey @GeorgeWill because he’s BORING—he never forgot!"
"493","2015-11-19","obamacare","just the beginning & it's going to get worse","Just the beginning & it is going to get worse. Rates & deductibles are so high nobody is going to be able to use it. https://t.co/iwqLODke50"
"494","2015-11-20","john-kasich","failed campaign & debating skills","Governor Kasich, whose failed campaign & debating skills have brought him way down in the polls, is going to spend $2.5 million against me."
"495","2015-11-20","john-kasich","failed image","John Kasich should focus his special interest money on building up his failed image, not negative ads on me."
"496","2015-11-20","john-kasich","pathetic","John Kasich, despite being Governor of Ohio, is losing to me in the Ohio polls. Pathetic!"
"497","2015-11-20","john-kasich","so irrelevant to the race","I want to do negative ads on John Kasich, but he is so irrelevant to the race that I don’t want to waste my money."
"498","2015-11-20","john-kasich","I will sue him just for fun!","Watch Kasich squirm --- if he is not truthful in his negative ads I will sue him just for fun!"
"499","2015-11-20","john-kasich","he came in dead last","I loved beating John Kasich in the debates, but it was easy—he came in dead last!"
"500","2015-11-20","john-kasichs-ad-guy","his proposal was a rip off","John Kasich ad guy wanted to work for me, but his proposal was a rip off – I said NO! Now ripping Kasich."
"501","2015-11-20","john-kasich","almost last","Doesn’t help Kasich to do negative ads on me because he still has to go through everyone else - he’s almost last."
"502","2015-11-20","john-kasich","fell right into President Obama's trap on ObamaCare","John Kasich fell right into President Obama’s trap on ObamaCare, and the people of Ohio are suffering for it. Shame!"
"503","2015-11-20","john-kasich","total dud","Once John Kasich announced he was running for president, and opened his mouth, people realized he was a complete & total dud!"
"504","2015-11-20","john-kasich","total failure","John Kasich was managing director of Lehman Brothers when it crashed, bringing down the world and ruining people's lives. A total failure!"
"505","2015-11-20","isis","thugs","The media must immediately stop calling ISIS leaders ""MASTERMINDS."" Call them instead thugs and losers. Young people must not go into ISIS!"
"506","2015-11-20","isis","losers","The media must immediately stop calling ISIS leaders ""MASTERMINDS."" Call them instead thugs and losers. Young people must not go into ISIS!"
"507","2015-11-20","isis","low-level degenerates","The media must denigrate ISIS at all levels or youth will continue to be drawn to it. These are low level degenerates, NOT masterminds!"
"508","2015-11-20","mary-katharine-ham","isn't smart enough to know what's going on at the border",".@mkhammer, a Fox contributor, isn't smart enough to know what is going on at the border. @TheJuanWilliams made the point far better!"
"509","2015-11-20","bill-deblasio","probably the worst Mayor in the history of #NYC","Can you believe the worst Mayor in the U.S., & probably the worst Mayor in the history of #NYC, @BilldeBlasio, just called me a blow hard!"
"510","2015-11-20","bill-deblasio","inept",".@BilldeBlasio should focus on running #NYC & all of the problems that he has caused with his ineptitude, & not be so focused on me!"
"511","2015-11-20","hillary-clinton","totally incompetent as a manager and leader",".@HillaryClinton is weak on illegal immigration & totally incompetent as a manager and leader - no strength or stamina to be #POTUS!"
"512","2015-11-20","hillary-clinton","no strength or stamina",".@HillaryClinton is weak on illegal immigration & totally incompetent as a manager and leader - no strength or stamina to be #POTUS!"
"513","2015-11-21","bill-deblasio","worst mayor in the United States","We're stuck with the worst mayor in the United States. Too bad, but New York City will survive!"
"514","2015-11-21","bobby-jindal","spent $1,000 to register in New Hampshire & dropped out the next day. Such a waste!","To show you how politicians act, Bobby Jindal spent $1,000 to register in New Hampshire & dropped out the next day. Such a waste!"
"515","2015-11-21","george-pataki","so easy to beat!","Rumor has it - Pataki, Kasich, & Senator Lindsey Graham are dropping out of the race very soon. Hope it's not true, they're so easy to beat!"
"516","2015-11-21","lindsey-graham","so easy to beat!","Rumor has it - Pataki, Kasich, & Senator Lindsey Graham are dropping out of the race very soon. Hope it's not true, they're so easy to beat!"
"517","2015-11-21","john-kasich","so easy to beat!","Rumor has it - Pataki, Kasich, & Senator Lindsey Graham are dropping out of the race very soon. Hope it's not true, they're so easy to beat!"
"518","2015-11-22","jill-colvin","one of the truly bad reporters",".ccolvinj @AP is one of the truly bad reporters---working for an organization that has totally lost its way. Stories are fictional garbage."
"519","2015-11-22","jill-colvin","stories are fictional garbage",".ccolvinj @AP is one of the truly bad reporters---working for an organization that has totally lost its way. Stories are fictional garbage."
"520","2015-11-22","associated-press","an organization that has totally lost its way",".ccolvinj @AP is one of the truly bad reporters---working for an organization that has totally lost its way. Stories are fictional garbage."
"521","2015-11-22","associated-press","Reuters is a far more professional operation","I find that @Reuters is a far more professional operation than @AP."
"522","2015-11-22","hillary-clinton","corruption is what she's best at","Hillary Clinton is weak on illegal immigration, among many other things. She is strong on corruption - corruption is what she's best at!"
"523","2015-11-22","hillary-clinton","weak","Hillary Clinton is weak on illegal immigration, among many other things. She is strong on corruption - corruption is what she's best at!"
"524","2015-11-23","associated-press","dishonest reporting",".@AP continues to do extremely dishonest reporting. Always looking for a hit to bring them back into relevancy—ain’t working!"
"525","2015-11-23","associated-press","always looking for a hit to bring them back into relevancy—ain’t working",".@AP continues to do extremely dishonest reporting. Always looking for a hit to bring them back into relevancy—ain’t working!"
"526","2015-11-23","jeff-horwitz","one of the worst reporters in the business",".@AP has one of the worst reporters in the business -- @JeffHorwitz wouldn’t know the truth if it hit him in the face."
"527","2015-11-23","associated-press","has one of the worst reporters in the business",".@AP has one of the worst reporters in the business -- @JeffHorwitz wouldn’t know the truth if it hit him in the face."
"528","2015-11-23","jeff-horwitz","wouldn't know the truth if it hit him in the face",".@AP has one of the worst reporters in the business -- @JeffHorwitz wouldn’t know the truth if it hit him in the face."
"529","2015-11-23","macys","disloyal","When you do your Christmas shopping remember how disloyal @Macys was to the subject of illegal immigration. #BoycottMacys #DumpMacys"
"530","2015-11-23","republican-party","getting ready to treat me unfairly",".@WSJ reports that @GOP getting ready to treat me unfairly—big spending planned against me. That wasn’t the deal!"
"531","2015-11-23","john-kasich","can't debate","Going to Ohio, home of one of the worst presidential candidates in history--Kasich. Can't debate, loves #ObamaCare--dummy!"
"532","2015-11-23","john-kasich","dummy","Going to Ohio, home of one of the worst presidential candidates in history--Kasich. Can't debate, loves #ObamaCare--dummy!"
"533","2015-11-23","john-kasich","one of the worst presidential candidates in history","Going to Ohio, home of one of the worst presidential candidates in history--Kasich. Can't debate, loves #ObamaCare--dummy!"
"534","2015-11-24","karl-rove","loser","Republicans must stop relying on losers like @KarlRove if they want to start winning presidential elections. Be tough and get smart!"
"535","2015-11-24","frank-vandersloot","Last victim was Mitt Romney - see how that turned out.","What is Frank VanderSloot getting for agreeing to back Marco Rubio? Last victim was Mitt Romney - see how that turned out."
"536","2015-11-25","karl-rove","an establishment dope","Why would @greta use @KarlRove as an election analyst when he has made so many mistakes. He still thinks Romney won. An establishment dope!"
"537","2015-11-25","karl-rove","has made so many mistakes","Why would @greta use @KarlRove as an election analyst when he has made so many mistakes. He still thinks Romney won. An establishment dope!"
"538","2015-11-25","karl-rove","has ZERO credibility",".@Karl Rove just totally bombed on @Morning_Joe. He has ZERO credibility. @FoxNews"
"539","2015-11-25","karl-rove","just totally bombed","@KarlRove just totally bombed on @Morning_Joe. @FoxNews has him on even though he has lost all credibility - a loser! Fox should dump Rove."
"540","2015-11-25","karl-rove","a loser","@KarlRove just totally bombed on @Morning_Joe. @FoxNews has him on even though he has lost all credibility - a loser! Fox should dump Rove."
"541","2015-11-26","the-new-york-times","failing","The failing @nytimes should be focused on good reporting and the papers financial survival and not with constant hits on Donald Trump!"
"542","2015-11-26","the-new-york-times","should be focused on good reporting and the papers financial survival","The failing @nytimes should be focused on good reporting and the papers financial survival and not with constant hits on Donald Trump!"
"543","2015-11-26","the-new-york-times","poorly run and managed","The @nytimes is so poorly run and managed that other family members are looking to take over control. With unfunded liabilities-big trouble!"
"544","2015-11-26","the-new-york-times","dopes","The dopes at the @nytimes bought the Boston Globe for $1.3 billion and sold it for $1.00. Their great old headquarters-gave it away! So dumb"
"545","2015-11-26","the-new-york-times","made all bad decisions over the last decade","So, since the people at the @nytimes have made all bad decisions over the last decade, why do people care what they write. Incompetent!"
"546","2015-11-26","the-new-york-times","incompetent","So, since the people at the @nytimes have made all bad decisions over the last decade, why do people care what they write. Incompetent!"
"547","2015-11-26","the-new-york-times","big help will be needed fast","The numbers at the @nytimes are so dismal, especially advertising revenue, that big help will be needed fast. A once great institution-SAD!"
"548","2015-11-26","the-new-york-times","SAD!","The numbers at the @nytimes are so dismal, especially advertising revenue, that big help will be needed fast. A once great institution-SAD!"
"549","2015-11-26","the-new-york-times","should focus on fair and balanced reporting","The failing @nytimes should focus on fair and balanced reporting rather than constant hit jobs on me. Yesterday 3 boring articles, today2!"
"550","2015-11-26","the-new-york-times","boring articles","The failing @nytimes should focus on fair and balanced reporting rather than constant hit jobs on me. Yesterday 3 boring articles, today2!"
"551","2015-11-28","serge-kovaleski","The reporter who pulled-back from his 14 year old never retracted story is having fun. I don't know what he looks like and don't know him!","The reporter who pulled-back from his 14 year old never retracted story is having fun. I don't know what he looks like and don't know him!"
"552","2015-11-29","cnn","bad reporters","""@JacoH: @CNN @realDonaldTrump I can't believe how low CNN can go. Obviously a bunch of Killary fans."" @CNN only says negative-bad reporters"
"553","2015-11-29","cnn","only says negative","""@JacoH: @CNN @realDonaldTrump I can't believe how low CNN can go. Obviously a bunch of Killary fans."" @CNN only says negative-bad reporters"
"554","2015-11-29","cnn","totally one-sided and biased against me that it is becoming boring",".@CNN has to do better reporting if it wants to keep up with the crowd.So totally one-sided and biased against me that it is becoming boring"
"555","2015-11-30","cokie-roberts","kooky","Great job @MariaTCardona on @ThisWeekABC. You made kooky Cokie Roberts and @BillKristol look even dumber than they are. You will be right!"
"556","2015-11-30","cokie-roberts","even dumber","Great job @MariaTCardona on @ThisWeekABC. You made kooky Cokie Roberts and @BillKristol look even dumber than they are. You will be right!"
"557","2015-11-30","bill-kristol","even dumber","Great job @MariaTCardona on @ThisWeekABC. You made kooky Cokie Roberts and @BillKristol look even dumber than they are. You will be right!"
"558","2015-11-30","matt-bai","dummy","""@ThisWeekABC: Maria, why do you work with such dummies as Cokie Roberts, @BillKristol, @mattbai? You can do much better! @MariaTCardona."
"559","2015-11-30","errol-louis","doesn't have a clue","When will @CNN get some real political talent rather than political commentators like Errol Louis, who doesn't have a clue! Others bad also."
"560","2015-11-30","cnn","When will @CNN get some real political talent","When will @CNN get some real political talent rather than political commentators like Errol Louis, who doesn't have a clue! Others bad also."
"561","2015-11-30","the-media","they only want negatives","Wow, the MSM is really going after me. 12,000 in Sarasota, a love fest, hardly a mention. Only one negativity - they only want negatives!"
"562","2015-11-30","new-jersey","deeply troubled","How is Chris Christie running the state of NJ, which is deeply troubled, when he is spending all of his time in NH? New Jerseyans not happy!"
"563","2015-11-30","chris-christie","spending all of his time in NH","How is Chris Christie running the state of NJ, which is deeply troubled, when he is spending all of his time in NH? New Jerseyans not happy!"
"564","2015-11-30","the-republican-establishment","out of self preservation, is concerned w/ my high poll #s","The Republican establishment, out of self preservation, is concerned w/ my high poll #'s. More concerned are Dems—I beat Hillary heads up!"
"565","2015-12-02","hillary-clinton","SHE HAS NO STRENGTH OR STAMINA","I beat Hillary in the new @FoxNews Poll head to head. SHE HAS NO STRENGTH OR STAMINA, both of which are needed to MAKE AMERICA GREAT AGAIN!"
"566","2015-12-03","ben-schreckenger","major lightweight with no credibility","Why can't @Politico get better reporters than Ben Schreckenger? Guy is a major lightweight with no credibility. So dishonest!"
"567","2015-12-03","ben-schreckenger","so dishonest","Why can't @Politico get better reporters than Ben Schreckenger? Guy is a major lightweight with no credibility. So dishonest!"
"568","2015-12-03","politico","3rd rate $ losing","It was recently reported that 3rd rate $ losing @Politico is a foil for the Clintons. Questions given to Clinton in advance. No credibility."
"569","2015-12-03","politico","no credibility","It was recently reported that 3rd rate $ losing @Politico is a foil for the Clintons. Questions given to Clinton in advance. No credibility."
"570","2015-12-04","cheri-jacobus","virtually incompetent","The virtually incompetent Republican Strategist who has had a failed career, Cheri Jacobus, is incoherent with anger that her puppets died!"
"571","2015-12-04","cheri-jacobus","failed career","The virtually incompetent Republican Strategist who has had a failed career, Cheri Jacobus, is incoherent with anger that her puppets died!"
"572","2015-12-04","cheri-jacobus","incoherent with anger","The virtually incompetent Republican Strategist who has had a failed career, Cheri Jacobus, is incoherent with anger that her puppets died!"
"573","2015-12-04","jennifer-rubin","one of the dumber bloggers",".@JRubinBlogger one of the dumber bloggers @washingtonpost only writes purposely inaccurate pieces on me. She is in love with Marco Rubio?"
"574","2015-12-04","jennifer-rubin","in love with Marco Rubio?",".@JRubinBlogger one of the dumber bloggers @washingtonpost only writes purposely inaccurate pieces on me. She is in love with Marco Rubio?"
"575","2015-12-04","macys","Don't shop there for Christmas!","Good news, disloyal @Macys stock is in a total free fall. Don't shop there for Christmas! https://t.co/wpDDCWcLFD https://t.co/vT3uGjiZ9B"
"576","2015-12-06","katy-tur","3rd rate reporter",".@KatyTurNBC, 3rd rate reporter & @SopanDeb @ CBS lied. Finished in normal manner&signed autos for 20min. Dishonest! https://t.co/sCglbQjB3o"
"577","2015-12-06","katy-tur","lied",".@KatyTurNBC, 3rd rate reporter & @SopanDeb @ CBS lied. Finished in normal manner&signed autos for 20min. Dishonest! https://t.co/sCglbQjB3o"
"578","2015-12-06","katy-tur","dishonest",".@KatyTurNBC, 3rd rate reporter & @SopanDeb @ CBS lied. Finished in normal manner&signed autos for 20min. Dishonest! https://t.co/sCglbQjB3o"
"579","2015-12-06","deb-sopan","lied",".@KatyTurNBC, 3rd rate reporter & @SopanDeb @ CBS lied. Finished in normal manner&signed autos for 20min. Dishonest! https://t.co/sCglbQjB3o"
